mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Hellmuth Stachel,"['mathematician', 'university teacher']",['Austria'],"Graz, Austria",,['University of Graz'],['University of Graz'],,['Austrian Academy of Sciences'],['University of Graz'],,,,,,,,,,['human'],['male'],False,6,October,1942,False,,,
Antonio Collalto (mathematician),['mathematician'],,Venice,16 July 1820,,,['Padua'],,,,['Italian'],,,,,,,,['human'],['male'],False,22,April,1765,False,16,July,1820
David Berlinski,"['philosopher', 'mathematician', 'university teacher']",['United States of America'],New York City,,['Princeton University'],,,,,,['English'],,,,,,,,['human'],['male'],False,,,1942,False,,,
Charles Cobb (economist),"['mathematician', 'economist', 'university teacher']",['United States of America'],Plymouth,1949,['University of Michigan'],,['Cambridge'],,,['Walter Burton Ford'],,,,,,,,,['human'],['male'],False,,,1875,False,,,1949
Shmuel Agmon,"['mathematician', 'university teacher']",['Israel'],Tel Aviv,,,['Hebrew University of Jerusalem'],,"['American Mathematical Society', 'Israel Academy of Sciences and Humanities']",['Hebrew University of Jerusalem'],['Szolem Mandelbrojt'],,,,,,"['mathematical analysis', 'partial differential equation']","['Israel Prize', '1991']",,['human'],['male'],False,2,February,1922,False,,,
Mihail Zervos,"['mathematician', 'engineer']",,,,['National Technical University of Athens'],"['London School of Economics', ""King's College London""]",,,"['London School of Economics', ""King's College London""]",,,,,,,,,,['human'],['male'],False,,,,False,,,
R. W. H. T. Hudson,['mathematician'],['United Kingdom'],Cambridge,20 September 1904,"['University of London', ""St John's College""]",,,,,,,,,,,['algebraic geometry'],,,['human'],['male'],False,16,July,1875,False,20,September,1904
Luigi Cremona,"['mathematician', 'university teacher']",['Kingdom of Italy'],Pavia,10 June 1903,['University of Pavia'],['Sapienza University of Rome'],['Rome'],"['Royal Society', 'Göttingen Academy of Sciences', 'Royal Swedish Academy of Sciences', 'American Academy of Arts and Sciences', 'Prussian Academy of Sciences', 'Lincean Academy', '4 December 1870Gregorian', '2 January 1874Gregorian', 'corresponding member', 'Lincean Academy', '2 January 1874Gregorian', 'ordinary member']",['Sapienza University of Rome'],['Francesco Brioschi'],['Italian'],,,,"['minister of Public Education of the Kingdom of Italy', '1 June 1898Gregorian', '29 June 1898Gregorian', 'Nicolò Gallo', 'Guido Baccelli']",['algebraic geometry'],"['Order of Merit for Arts and Science', 'Pour le Mérite']",,['human'],['male'],False,7,December,1830,False,10,June,1903
Anatoly Libgober,['mathematician'],['United States of America'],Moscow,,,,,,,,,,,,,,,,['human'],['male'],False,,,1949,False,,,
John Blagrave,['mathematician'],,,9 August 1611,"[""St John's College""]",,,,,,,,,,,,,,['human'],['male'],False,1,January,1561,False,9,August,1611
Ben Green (mathematician),"['mathematician', 'university teacher']",['United Kingdom'],Bristol,,['Trinity College'],['University of Bristol'],,"['American Mathematical Society', '2012', 'Royal Society', '2010']",['University of Bristol'],['Timothy Gowers'],,,,,,"['combinatorics', 'number theory']","['Ostrowski Prize', '2005', 'SASTRA Ramanujan Prize', '2007', 'Salem Prize', '2005', 'Clay Research Award', '2004', 'Whitehead Prize', '2005', 'EMS Prize', '2008', 'Sylvester Medal', '2014', 'Gauss Lectureship', '2013']",['2±0'],['human'],['male'],False,27,February,1977,False,,,
Adrian Bowyer,"['engineer', 'mathematician', 'university teacher']",['United Kingdom'],London,,['Imperial College London'],['University of Bath'],,,['University of Bath'],,,,,,,,,,['human'],['male'],False,,,1952,False,,,
William of Heytesbury,"['mathematician', 'philosopher', 'university teacher']",['United Kingdom'],Wiltshire,1372,,,['Oxford'],,,,['Latin'],,,,,,,,['human'],['male'],False,,,1313,False,,,1372
John Stillwell,"['mathematician', 'historian of mathematics', 'university teacher']",['Australia'],Melbourne,,['Massachusetts Institute of Technology'],,,['American Mathematical Society'],,"['Hartley Rogers, Jr.']",['English'],,,,,,,,['human'],['male'],False,12,August,1942,False,,,
Helmut Hasse,"['mathematician', 'university teacher']",['Germany'],Kassel,26 December 1979,"['University of Marburg', 'University of Göttingen', 'University of Kiel']","['University of Hamburg', '1950', '1966', 'University of Kiel', '1922', '1925', 'University of Göttingen', '1934', 'September 1945', 'University of Marburg', '1930', '1934', 'University of Halle-Wittenberg', '1925', '1930', 'Humboldt University of Berlin', '1949', '1950']",['Ahrensburg'],"['German Academy of Sciences at Berlin', 'German Academy of Sciences Leopoldina']","['University of Hamburg', '1950', '1966', 'University of Kiel', '1922', '1925', 'University of Göttingen', '1934', 'September 1945', 'University of Marburg', '1930', '1934', 'University of Halle-Wittenberg', '1925', '1930', 'Humboldt University of Berlin', '1949', '1950']",['Kurt Hensel'],['German'],,,,,['number theory'],"['National Prize of East Germany', 'Cothenius Medal', '1969']",['2±0'],['human'],['male'],False,25,August,1898,False,26,December,1979
Klara Dan von Neumann,"['computer scientist', 'engineer']",['Hungary'],Budapest,10 November 1963,,,['San Diego'],,,,,,,['suicide'],,,,,['human'],['female'],False,18,August,1911,False,10,November,1963
Valerie Isham,"['mathematician', 'statistician']",['United Kingdom'],,,,['University College London'],,,['University College London'],['David Cox'],,,,,,['probability theory'],,,['human'],['female'],False,,,1947,False,,,
Stefan Ralescu,"['mathematician', 'statistician']",['United States of America'],,,,,,,,,,,,,,,,['2±0'],['human'],['male'],False,,,1952,False,,,
Jay Kappraff,['mathematician'],['United States of America'],,,"['New York University', 'University of Iowa', 'New York University Tandon School of Engineering']",,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Irvin Cohen,"['mathematician', 'university teacher']",['United States of America'],,14 February 1955,['Johns Hopkins University'],['Massachusetts Institute of Technology'],,,['Massachusetts Institute of Technology'],,,,,,,,,,['human'],['male'],False,,,1917,False,14,February,1955
Asef Hadjiyev,[''],,,,,,,['Azerbaijan National Academy of Sciences'],,,,,,,,,,,['human'],['male'],False,29,May,1951,False,,,
Nikolai Sergeevich Bakhvalov,['mathematician'],"['Soviet Union', 'Russia']",Moscow,29 August 2005,['Moscow State University'],['Moscow State University'],['Moscow'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Moscow State University'],['Andrey Kolmogorov'],,['Doctor of Sciences in Physics and Mathematics'],,,,"['applied mathematics', 'numerical analysis', 'Function theory']","['USSR State Prize', 'Order of Honour', 'Order of the Badge of Honour', 'Honoured Science Worker of the Russian Federation']",,['human'],['male'],False,29,May,1934,False,29,August,2005
Earl A. Coddington,[''],,,11 November 1991,,,,,,,,,,,,,,,['human'],,False,,,,False,11,November,1991
James Bates Thomson,['mathematician'],['United States of America'],Windsor County,22 June 1883,['Yale University'],,['Brooklyn'],,,,,,,,,,,,['human'],['male'],False,21,May,1808,False,22,June,1883
W. Frahm,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Solomon W. Golomb,"['mathematician', 'computer scientist', 'university teacher']",['United States of America'],Baltimore,1 May 2016,"['Harvard University', 'Johns Hopkins University']",['University of Southern California'],['Los Angeles'],"['American Mathematical Society', 'National Academy of Sciences', 'National Academy of Engineering', 'Society for Industrial and Applied Mathematics', 'American Academy of Arts and Sciences']",['University of Southern California'],['David Widder'],,,,,,"['combinatorics', 'number theory']","['William Procter Prize for Scientific Achievement', '2012', 'National Medal of Science', '2011', 'Claude E. Shannon Award', 'IEEE Richard W. Hamming Medal', '2000', 'Fulbright Scholarship', 'Benjamin Franklin Medal', '2016']",['2±0'],['human'],['male'],False,30,May,1932,False,1,May,2016
Hilary Putnam,"['mathematician', 'philosopher', 'university teacher', 'non-fiction writer', 'computer scientist']",['United States of America'],Chicago,13 March 2016,"['Harvard University', 'University of Pennsylvania', 'Central High School', 'University of California, Los Angeles', 'philosophy', '1951', 'Doctor of Philosophy']","['Princeton University', 'Harvard University', 'Massachusetts Institute of Technology', 'Northwestern University']",['Arlington'],"['European Academy of Sciences and Arts', 'American Academy of Arts and Sciences', 'American Philosophical Society', 'British Academy']","['Princeton University', 'Harvard University', 'Massachusetts Institute of Technology', 'Northwestern University']",,['English'],,,['natural causes'],,,,['3±0'],['human'],['male'],False,31,July,1926,False,13,March,2016
Mikhail Menshikov,['mathematician'],,Moscow,,,,,,,,,,,,,['probability theory'],,,['human'],['male'],False,17,January,1948,False,,,
Alexis Fontaine des Bertins,['mathematician'],['France'],Claveyson,21 August 1771,,,['Cuiseaux'],['French Academy of Sciences'],,,,,,,,,,,['human'],['male'],False,13,August,1704,False,21,August,1771
Goro Nishida,"['mathematician', 'university teacher']",['Japan'],Ōsaka Prefecture,2 June 2014,"['Kyoto University', 'University of Manchester']",,,,,,,,,,,,,,['human'],['male'],False,18,September,1943,False,2,June,2014
Moshe Shaked,['mathematician'],,,28 October 2014,,,,,,,,,,,,,,,['human'],['male'],False,21,February,1945,False,28,October,2014
Augustus William Smith,['mathematician'],['United States of America'],Newport,26 March 1866,['Hamilton College'],['Wesleyan University'],['Annapolis'],,['Wesleyan University'],,,,,,,,,,['human'],['male'],False,12,May,1802,False,26,March,1866
Jean Gaston Darboux,"['mathematician', 'writer', 'university teacher']",['France'],Nîmes,23 February 1917,['École Normale Supérieure'],,['Paris'],"['Royal Society', 'Société Philomathique de Paris', 'German Academy of Sciences Leopoldina', 'French Academy of Sciences', 'Göttingen Academy of Sciences', 'Russian Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Hungarian Academy of Sciences', 'Romanian Academy', 'Russian Academy of Sciences', 'Lincean Academy', 'Prussian Academy of Sciences']",,['Michel Chasles'],['French'],,['Stanisław Zaremba'],,,['geometry'],"['Poncelet Prize', '1875', 'Grand Officer of the Legion of Honour', '16 February 1910Gregorian', 'Grand prix des sciences mathématiques', '1876']",,['human'],['male'],False,14,August,1842,False,23,February,1917
José de Jesús Martínez,['politician'],"['Nicaragua', 'Panama']",Managua,27 January 1991,,,['Panama City'],,,,['Spanish'],,,,,,,,['human'],['male'],False,8,June,1929,False,27,January,1991
Walter Hayman,"['mathematician', 'university teacher']",['United Kingdom'],Cologne,,,,,"['Royal Society', 'Lincean Academy', 'Bavarian Academy of Sciences and Humanities']",,['Mary Cartwright'],,,,,,['mathematical analysis'],"['Fellow of the Royal Society', 'De Morgan Medal', '1995']",['2±0'],['human'],['male'],False,6,January,1926,False,,,
Claire Mathieu,"['mathematician', 'computer scientist']",['France'],,,,['CNRS'],,,['CNRS'],,,,,,,,,,['human'],['female'],False,9,March,1965,False,,,
Walter Craig (mathematician),['mathematician'],,,,,,,['American Mathematical Society'],,,,,,,,,,,['human'],['male'],False,,,,False,,,
Annamalai Ramanathan,"['mathematician', 'university teacher']",['India'],Chennai,12 March 1993,['Tata Institute of Fundamental Research'],,,,,,,,,,,,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1991']",,['human'],['male'],False,29,August,1946,False,12,March,1993
Yehoshua Bar-Hillel,"['mathematician', 'linguist', 'philosopher', 'educator']",['Israel'],Vienna,25 September 1975,['Hebrew University of Jerusalem'],,['Jerusalem'],['Israel Academy of Sciences and Humanities'],,,"['English', 'Hebrew']",,,,,"['mathematical logic', 'theoretical linguistics']",,['3±0'],['human'],['male'],False,8,September,1915,False,25,September,1975
Claude Shannon,"['mathematician', 'cryptographer', 'computer scientist', 'engineer', 'sport cyclist', 'university teacher']",['United States of America'],Petoskey,24 February 2001,"['University of Michigan', 'Massachusetts Institute of Technology']",['Massachusetts Institute of Technology'],['Medford'],"['Royal Society', 'American Academy of Arts and Sciences', 'Royal Netherlands Academy of Arts and Sciences', 'German Academy of Sciences Leopoldina']",['Massachusetts Institute of Technology'],['Frank Lauren Hitchcock'],['English'],,['Ivan Sutherland'],['natural causes'],,['probability theory'],"['Fellow of the Royal Society', 'Stuart Ballantine Medal', '1955', 'John Fritz Medal', 'Harold Pender Award', 'Harvey Prize', '1972', 'IEEE Medal of Honor', '1966', 'National Medal of Science', '1966', 'Josiah Willard Gibbs Lectureship', '1963', 'National Inventors Hall of Fame', 'Kyoto Prize', '1985', 'Claude E. Shannon Award', '1972', 'IEEE Morris N. Liebmann Memorial Award', '1949', 'Kyoto Prize in Basic Sciences', '1985']",['3±0'],['human'],['male'],False,30,April,1916,False,24,February,2001
Étienne-Louis Malus,"['mathematician', 'physicist', 'military personnel', 'engineer']",['France'],Paris,24 February 1812,['École Polytechnique'],['École Polytechnique'],['Paris'],"['Société Philomathique de Paris', 'French Academy of Sciences']",['École Polytechnique'],,['French'],,,['natural causes'],,['optics'],"['Rumford Medal', '1810', 'Grand prix des sciences mathématiques', '1810']",,['human'],['male'],False,23,July,1775,False,24,February,1812
Børge Jessen,"['mathematician', 'university teacher']",['Denmark'],Copenhagen,20 March 1993,['University of Copenhagen'],['University of Copenhagen'],,['Royal Danish Academy of Sciences and Letters'],['University of Copenhagen'],,,,,,,"['mathematical analysis', 'geometry']",,,['human'],['male'],False,19,June,1907,False,20,March,1993
Justinian Rweyemamu,"['mathematician', 'economist']",['Tanzania'],Bukoba,30 March 1982,"['Harvard University', 'Fordham University']",,['New York City'],,,,,,,,,,,,['human'],['male'],False,28,September,1942,False,30,March,1982
Margaret Meyer,"['mathematician', 'astronomer']",,Ulster,27 January 1924,['Girton College'],,,,,,,,,,,,,,['human'],['female'],False,,September,1862,False,27,January,1924
Heide Gluesing-Luerssen,[''],,,,,,,,,,,,,,,,,,['human'],['female'],False,,,,False,,,
Michael Lin (mathematician),['mathematician'],['Israel'],Tel Aviv,,,,,,,,,,,,,,,['3±0'],['human'],['male'],False,8,June,1942,False,,,
Robert Remak (mathematician),"['mathematician', 'university teacher']",['Germany'],Berlin,13 November 1942,,['Humboldt University of Berlin'],['Auschwitz concentration camp'],,['Humboldt University of Berlin'],,['German'],,,,,,,,['human'],['male'],False,14,February,1888,False,13,November,1942
Joan Birman,"['mathematician', 'topologist']",['United States of America'],New York City,,['New York University'],['Columbia University'],,"['American Mathematical Society', 'American Academy of Arts and Sciences', 'Moscow Mathematical Society', 'European Mathematical Society']",['Columbia University'],['Wilhelm Magnus'],,,,,,['topology'],['John Simon Guggenheim Memorial Foundation Fellowship'],['3±0'],['human'],['female'],False,30,May,1927,False,,,
Jerald Ericksen,['mathematician'],['United States of America'],Portland,,['Indiana University'],['Johns Hopkins University'],,,['Johns Hopkins University'],['David Gilbarg'],,,,,,,"['Timoshenko Medal', '1979']",,['human'],['male'],False,20,December,1924,False,,,
Josef Finger,"['mathematician', 'physicist', 'university teacher']","['Austrian Empire', 'Austria-Hungary', 'Austria']",Plzeň,6 May 1925,,['University of Vienna'],['Sankt Georgen im Attergau'],['German Academy of Sciences Leopoldina'],['University of Vienna'],,,,,,,,,,['human'],['male'],False,1,January,1841,False,6,May,1925
Adrastus of Cyzicus,['astronomer'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
George Darwin,"['mathematician', 'astronomer']",['United Kingdom'],Downe,7 December 1912,"['Trinity College', ""St John's College""]",['University of Cambridge'],['Cambridge'],"['Royal Society', 'German Academy of Sciences Leopoldina', 'Russian Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Hungarian Academy of Sciences', 'American Academy of Arts and Sciences', 'Lincean Academy', 'Russian Academy of Sciences', 'Prussian Academy of Sciences']",['University of Cambridge'],['Edward Routh'],['English'],,,,,,"['Fellow of the Royal Society', 'Knight Commander of the Order of the Bath', 'Copley Medal', '1911', 'Royal Medal', 'Gold Medal of the Royal Astronomical Society', '1892']",,['human'],['male'],False,9,July,1845,False,7,December,1912
John Meadows Jackson,[''],,,23 March 1998,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,23,March,1998
Richard Eliot Chamberlin,[''],['United States of America'],,14 March 1994,['Harvard University'],,,,,,,,,,,,,,['human'],['male'],False,20,March,1923,False,14,March,1994
Jacob Fox,['mathematician'],['United States of America'],Rehovot,,"['Princeton University', 'Massachusetts Institute of Technology']","['Massachusetts Institute of Technology', 'Stanford University']",,,"['Massachusetts Institute of Technology', 'Stanford University']",['Benny Sudakov'],,,,,,,"['Q1562728', '2016']",,['human'],['male'],False,,,1984,False,,,
Jonas Kubilius,"['mathematician', 'politician']","['Soviet Union', 'Lithuania']",Lithuania,30 October 2011,['Saint Petersburg State University'],['Vilnius University'],,,['Vilnius University'],['Yuri Linnik'],['Lithuanian'],['Doctor of Sciences in Physics and Mathematics'],,,"['Member of the Seimas', 'member of the Supreme Soviet of the Soviet Union']","['probability theory', 'number theory']","['Order of Lenin', 'Hero of Socialist Labour', 'Order of the Red Banner of Labour']",['3±0'],['human'],['male'],False,27,July,1921,False,30,October,2011
Celso Grebogi,"['physicist', 'theoretical physicist']",['Brazil'],Curitiba,,,"['University of Aberdeen', 'University of Maryland, College Park']",,,"['University of Aberdeen', 'University of Maryland, College Park']",,,,,,,,,,['human'],['male'],False,,,1947,False,,,
